plan_name,price_usd,effective_monthly_fee_usd,annual_fee_usd,annual_discount_pct,served_model,monthly_tokens,raw_usd_per_mtok,benchmark_note,confidence,plan_id,plan_name_en,plan_gen,workload,unmetered,promo_until
MiMo Token Plan Max 日间,100.0,100.0,1200.0,0.0,mimo-v2.5-pro,6344000000,0.015762926,[Pending DeepSWE],medium,mimo_token_max_day,MiMo Token Plan Max (Day),,standard,False,
MiMo Token Plan Max 夜间0.8×,100.0,100.0,1200.0,0.0,mimo-v2.5-pro,7930000000,0.01261034,[Pending DeepSWE],medium,mimo_token_max_night,MiMo Token Plan Max (Night 0.8x),,standard,False,
MiMo Token Plan Max 日间,100.0,100.0,1200.0,0.0,mimo-v2.5,15074000000,0.0066339392,[Pending DeepSWE],medium,mimo_token_max_day,MiMo Token Plan Max (Day),,standard,False,
MiMo Token Plan Max 夜间0.8×,100.0,100.0,1200.0,0.0,mimo-v2.5,18842000000,0.0053072922,[Pending DeepSWE],medium,mimo_token_max_night,MiMo Token Plan Max (Night 0.8x),,standard,False,
Claude Max 5x (9/14+),100.0,100.0,1200.0,0.0,claude-fable-5.1,863900000,0.11575414,[Pending DeepSWE],low,claude_max_5x,,,measured,False,
Claude Pro,20.0,16.67,200.0,16.7,claude-opus-5.5,3608900000,0.0055418549,[Pending DeepSWE],low,claude_pro,,,measured,False,
Claude Max 5x (9/14+),100.0,100.0,1200.0,0.0,claude-opus-5.5,15085200000,0.0066290139,[Pending DeepSWE],low,claude_max_5x,,,measured,False,
Cursor Ultra (Standard),200.0,160.0,1920.0,20.0,composer-2.5,19960800000,0.010019638,[Pending DeepSWE],medium,cursor_ultra,,,measured,False,
Cursor Pro (Standard),20.0,16.0,192.0,20.0,composer-2.5,1212600000,0.016493485,[Pending DeepSWE],medium,cursor_pro,,,measured,False,
Cursor Pro+ (Standard),60.0,48.0,576.0,20.0,composer-2.5,5322900000,0.011272051,[Pending DeepSWE],low,cursor_pro_plus,,,measured,False,
MiniMax Token Plan Plus,7.23,5.78,69.41,20.0,minimax-m2.7,600000000,0.012047541,[Pending DeepSWE],medium,minimax_token_plus_cn,,,measured,False,
MiniMax Token Plan Plus (Global),22.0,17.6,211.2,20.0,minimax-m2.7,1700000000,0.012941176,[Pending DeepSWE],medium,minimax_token_plus_global,,,measured,False,
Cursor Ultra (Composer Fast),200.0,160.0,1920.0,20.0,composer-2.5,6884100000,0.029052454,[Pending DeepSWE],medium,cursor_ultra_composer_fast,,,measured,False,
Cursor Pro (Composer Fast),20.0,16.0,192.0,20.0,composer-2.5,418200000,0.047824008,[Pending DeepSWE],medium,cursor_pro_composer_fast,,,measured,False,
Cursor Pro+ (Composer Fast),60.0,48.0,576.0,20.0,composer-2.5,1835800000,0.032683299,[Pending DeepSWE],low,cursor_pro_plus_composer_fast,,,measured,False,
Devin Pro (促销至 10/31),20.0,,,,swe-2,,0.0,[Unmetered until 2026-10-31],medium,devin_pro,,,,True,2026-10-31
DeepSeek V4.1 Flash API 闲时,0.0,,,,deepseek-v4.1-flash,,0.00966,[Pending DeepSWE],high,deepseek_v41_flash_offpeak,,,standard,False,
DeepSeek V4.1 Flash API 忙时,0.0,,,,deepseek-v4.1-flash,,0.01932,[Pending DeepSWE],high,deepseek_v41_flash_peak,,,standard,False,
DeepSeek V4 Flash API 闲时,0.0,,,,deepseek-v4-flash,,0.01559,[Pending DeepSWE],high,deepseek_v4_flash_offpeak,,,standard,False,
DeepSeek V4 Flash API 忙时,0.0,,,,deepseek-v4-flash,,0.03118,[Pending DeepSWE],high,deepseek_v4_flash_peak,,,standard,False,
DeepSeek V4 Pro API 闲时,0.0,,,,deepseek-v4-pro,,0.04774,[Pending DeepSWE],high,deepseek_v4_pro_offpeak,,,standard,False,
DeepSeek V4 Pro API 忙时,0.0,,,,deepseek-v4-pro,,0.09548,[Pending DeepSWE],high,deepseek_v4_pro_peak,,,standard,False,
GPT-5.6 Sol API,0.0,,,,gpt-5.6-sol,,0.588,[Pending DeepSWE],high,openai_sol_api,,,standard,False,
Grok 4.6 API (<200k),0.0,,,,grok-4.6,,0.565,[Pending DeepSWE],high,xai_grok46_api,,,standard,False,
Grok 4.7 API (<200k),0.0,,,,grok-4.7,,0.565,[Pending DeepSWE],high,xai_grok47_api,,,standard,False,
MiMo V2.6 Pro API,0.0,,,,mimo-v2.6-pro,,0.018717,[Pending DeepSWE],high,mimo_v26_pro_api,,,standard,False,
MiMo V2.6 Flash API,0.0,,,,mimo-v2.6-flash,,0.007616,[Pending DeepSWE],high,mimo_v26_flash_api,,,standard,False,
MiMo V2.6 Pro UltraSpeed API,0.0,,,,mimo-v2.6-pro-ultraspeed,,0.18717,[Pending DeepSWE],high,mimo_v26_pro_ultraspeed_api,,,standard,False,
Claude Opus 5 API,0.0,,,,claude-opus-5,,0.76625,[Pending DeepSWE],high,anthropic_opus5_api,,,anthropic,False,
Claude Sonnet 5 API,0.0,,,,claude-sonnet-5,,0.3065,[Pending DeepSWE],high,anthropic_sonnet5_api,,,anthropic,False,
Claude Fable 5 API,0.0,,,,claude-fable-5,,1.5325,[Pending DeepSWE],high,anthropic_fable5_api,,,anthropic,False,
Claude Fable 5.1 API,0.0,,,,claude-fable-5.1,,0.805,[Pending DeepSWE],high,anthropic_fable51_api,,,anthropic,False,
Claude Opus 5.5 API,0.0,,,,claude-opus-5.5,,0.419,[Pending DeepSWE],high,anthropic_opus55_api,,,anthropic,False,
GPT-5.6 Terra API,0.0,,,,gpt-5.6-terra,,0.304,[Pending DeepSWE],high,openai_terra_api,,,standard,False,
GPT-5.6 Luna API,0.0,,,,gpt-5.6-luna,,0.0304,[Pending DeepSWE],high,openai_luna_api,,,standard,False,
